Customer ID#,Type,Balance
ID1,SAVINGS,625465
ID2,SAVINGS,57
ID3,CURRENT,54184
ID4,SAVINGS,352
ID5,SAVINGS,
ID6,CURRENT,861919
ID7,CURRENT,568
ID8,SAVINGS,4062
ID9,CURRENT,85981784
ID10,SAVINGS,18189401
ID11,SAVINGS,21299
ID12,CURRENT,
ID13,CURRENT,14
,SAVINGS,26169
ID15,SAVINGS,5260
ID16,SAVINGS,98772
ID17,SAVINGS,
ID18,,7945
ID19,SAVINGS,1
ID20,CURRENT,552889
ID21,CURRENT,
ID22,SAVINGS,7
ID23,SAVINGS,48404023
ID24,SAVINGS,59
ID25,,743
ID26,SAVINGS,1
ID27,SAVINGS,5796
ID28,SAVINGS,
ID29,SAVINGS,544220
ID30,CURRENT,3371
ID31,CURRENT,13
ID32,SAVINGS,
ID33,SAVINGS,22215
ID34,SAVINGS,
ID35,CURRENT,92
ID36,CURRENT,2304882
ID37,CURRENT,
ID38,SAVINGS,4602
ID39,CURRENT,80437
ID40,SAVINGS,
ID41,SAVINGS,92985443
ID42,CURRENT,73223749
ID43,CURRENT,221585
ID44,SAVINGS,24
ID45,CURRENT,19664544
ID46,CURRENT,917971
ID47,CURRENT,436924
ID48,CURRENT,497796
ID49,SAVINGS,7631155
ID50,,68
ID51,SAVINGS,321083
ID52,SAVINGS,49742354
ID53,CURRENT,89826
