Customer ID#,Currency
ID91,WZV
ID16,SZQ
ID12,DIM
ID88,JXU
ID27,IZU
ID87,QOI
ID89,FJW
ID36,IRR
ID72,EHH
ID57,GIS
ID42,NMX
ID5,NWP
ID59,YYM
ID81,YNK
ID39,UUH
ID67,CGW
ID14,KKJ
ID56,CDR
ID28,MOC
ID54,HWQ
ID45,OYE
ID13,TLQ
,NHN
ID74,SFQ
ID52,ZXM
ID94,RTJ
ID8,QTM
ID22,
ID71,OYG
ID82,BNA
ID92,CUG
ID47,QSJ
ID48,KBE
ID15,UKP
ID60,TSB
ID58,YJY
ID19,SPH
ID61,YRP
ID93,SGY
ID26,NCW
ID1,NDG
ID2,IUC
ID64,KRJ
ID53,KLI
ID66,DCA
ID40,UEU
ID95,NKP
ID46,ZJA
ID75,JTC
ID23,EGF
ID17,GLG
ID38,XAK
ID43,WPZ
ID76,VTY
ID41,PBJ
ID62,
ID10,TFA
ID65,FAT
ID51,FAT
ID4,TXU
ID33,JDV
ID70,IHA
ID21,BMK
,MII
ID20,ILA
ID49,GLO
ID80,LDJ
ID78,XXK
ID18,HUC
ID7,VDF
ID9,XGK
ID79,FCJ
ID6,VUK
ID63,FKA
ID30,ISK
ID77,SVO
ID50,VAC
ID35,BFS
ID3,XFQ
ID83,VZY
ID25,LNQ
ID29,LDM
ID44,NKM
ID85,HWY
ID68,ERW
ID96,CGK
ID73,VMO
ID55,IVG
ID31,KKW
ID69,DDP
ID86,JTA
ID24,OSH
ID90,KZI
ID11,DUT
ID37,ZPH
ID84,APN
