Balance,Type,Customer ID#
35416622,SAVINGS,ID1
25080,CURRENT,ID2
,CURRENT,ID3
,CURRENT,ID4
86081085,SAVINGS,ID5
40407224,SAVINGS,ID6
,CURRENT,ID7
366,CURRENT,ID8
4034173,SAVINGS,ID9
40382372,CURRENT,ID10
756490,SAVINGS,ID11
14599663,SAVINGS,ID12
55,SAVINGS,ID13
65482904,CURRENT,ID14
665633,SAVINGS,ID15
471,SAVINGS,ID16
,SAVINGS,ID17
76,CURRENT,ID18
8559123,CURRENT,ID19
1827401,SAVINGS,ID20
5,CURRENT,ID21
105930,CURRENT,ID22
2679342,SAVINGS,ID23
695,SAVINGS,ID24
5376,CURRENT,ID25
44463427,CURRENT,ID26
2597358,CURRENT,ID27
6,CURRENT,ID28
12,SAVINGS,ID29
8,CURRENT,ID30
4798,SAVINGS,ID31
79940,SAVINGS,ID32
93662,SAVINGS,ID33
50958,SAVINGS,ID34
70305,SAVINGS,ID35
406,CURRENT,ID36
57947201,CURRENT,ID37
577242,CURRENT,ID38
74087782,SAVINGS,ID39
748995,CURRENT,ID40
4,CURRENT,ID41
31146787,SAVINGS,ID42
9,SAVINGS,ID43
87796,CURRENT,ID44
80,SAVINGS,ID45
50,CURRENT,ID46
35753,SAVINGS,ID47
6,CURRENT,ID48
96732,CURRENT,ID49
414196,CURRENT,ID50
22794,CURRENT,ID51
15669,CURRENT,ID52
735792,,ID53
,CURRENT,ID54
97,CURRENT,ID55
