Customer ID#,Currency,Type
ID43,LHG,SAVINGS
ID26,UOB,CURRENT
ID21,JDF,SAVINGS
ID14,MVS,CURRENT
ID8,,SAVINGS
ID24,VSV,SAVINGS
ID1,HBJ,SAVINGS
ID30,PKT,CURRENT
ID39,AKQ,CURRENT
ID16,DLE,CURRENT
ID28,HVW,CURRENT
ID19,PUC,SAVINGS
ID22,TCV,SAVINGS
ID15,GVR,SAVINGS
ID41,NCE,
ID17,QPK,SAVINGS
ID31,OLG,SAVINGS
ID25,RWR,SAVINGS
ID2,BQY,
ID29,IEA,CURRENT
ID34,GJG,SAVINGS
ID5,CUV,SAVINGS
ID27,HFP,CURRENT
ID35,HYC,CURRENT
ID23,TNM,CURRENT
ID37,LQV,CURRENT
ID7,IJU,CURRENT
ID20,HUB,SAVINGS
ID40,QWZ,SAVINGS
ID42,SQF,CURRENT
ID12,DGI,CURRENT
ID9,IOX,SAVINGS
ID3,ZEO,CURRENT
ID38,XSG,SAVINGS
,DAR,SAVINGS
,AAB,SAVINGS
ID13,TKU,SAVINGS
ID6,USB,SAVINGS
ID32,JGW,CURRENT
ID36,VQC,CURRENT
ID10,UQG,SAVINGS
ID11,IPV,SAVINGS
ID33,IYM,SAVINGS
