Currency,Type,Customer ID#
BUG,CURRENT,ID4
ZFY,,
PQY,SAVINGS,ID12
VRT,CURRENT,ID7
UNT,CURRENT,ID2
PVB,SAVINGS,ID34
ESI,CURRENT,ID20
VUJ,SAVINGS,ID24
GFO,CURRENT,ID30
LGR,CURRENT,ID32
UFO,SAVINGS,ID25
AWH,CURRENT,ID8
NIU,SAVINGS,ID10
VLB,CURRENT,ID31
GRV,CURRENT,ID6
RSI,,ID22
DZU,SAVINGS,ID17
,CURRENT,ID9
RSW,SAVINGS,ID11
SLK,SAVINGS,ID18
UZP,CURRENT,ID3
KFS,SAVINGS,ID16
WAK,SAVINGS,ID26
CPF,CURRENT,ID13
ALD,CURRENT,ID29
KDP,CURRENT,ID36
LYR,CURRENT,
VVW,SAVINGS,ID33
SYZ,SAVINGS,ID5
PAP,CURRENT,ID1
XRP,SAVINGS,ID21
LII,SAVINGS,ID35
VKI,,ID28
LEO,CURRENT,ID14
,SAVINGS,
YYE,SAVINGS,ID27
