Type,Balance
CURRENT,909
SAVINGS,277628
CURRENT,
SAVINGS,66
SAVINGS,
SAVINGS,36723950
SAVINGS,478
SAVINGS,6531
CURRENT,
CURRENT,
CURRENT,41670713
SAVINGS,3280574
SAVINGS,18291
SAVINGS,20644
CURRENT,9997
CURRENT,218
CURRENT,138368
CURRENT,6305
SAVINGS,
CURRENT,68341136
SAVINGS,7
CURRENT,65979830
SAVINGS,9
CURRENT,11
SAVINGS,8117
SAVINGS,
CURRENT,59476727
SAVINGS,5636311
CURRENT,2736
CURRENT,72686
SAVINGS,701
CURRENT,
CURRENT,64449
SAVINGS,94610754
,59
SAVINGS,7224494
CURRENT,44028008
CURRENT,4
CURRENT,63091618
CURRENT,468
SAVINGS,184553
SAVINGS,830
SAVINGS,534765
,49
,3012
,1
CURRENT,182091
CURRENT,3225
CURRENT,4
CURRENT,78566898
CURRENT,975
SAVINGS,22
,36381320
SAVINGS,
CURRENT,66716
SAVINGS,4701
SAVINGS,817
SAVINGS,1
CURRENT,5
CURRENT,6
