Currency,Type,Balance,Customer ID#
ACI,CURRENT,,ID1
JEA,SAVINGS,74589,ID2
LBS,CURRENT,6372760,ID3
ZQC,SAVINGS,9,ID4
,CURRENT,2199676,ID5
MDM,CURRENT,611743,ID6
IAK,,601,ID7
XOR,CURRENT,90,ID8
TCT,SAVINGS,40560892,ID9
PTX,CURRENT,4234,ID10
BIY,SAVINGS,773,ID11
DIO,CURRENT,,ID12
,SAVINGS,,ID13
XKQ,SAVINGS,48534,ID14
JUH,,,ID15
ALF,CURRENT,24876157,ID16
NUC,SAVINGS,74,ID17
DPE,CURRENT,202422,ID18
XIG,CURRENT,1,ID19
RSI,CURRENT,95583,ID20
GGV,CURRENT,3,ID21
YUY,SAVINGS,360,ID22
FPF,SAVINGS,92561,ID23
NIJ,CURRENT,42404320,ID24
YKU,CURRENT,673,ID25
KPB,CURRENT,26317,
ZJZ,CURRENT,339248,ID27
STS,CURRENT,492459,ID28
VYP,CURRENT,1491,ID29
EZR,SAVINGS,4897,ID30
,SAVINGS,80,ID31
QKS,CURRENT,95537,ID32
,SAVINGS,,ID33
TRE,SAVINGS,2590,ID34
,SAVINGS,13730,ID35
ROX,SAVINGS,4646192,ID36
HYS,,7472,ID37
SWD,SAVINGS,,ID38
WRA,CURRENT,5848,ID39
DEC,SAVINGS,2,ID40
AHU,,73,ID41
QBV,SAVINGS,5287971,ID42
BBB,SAVINGS,97812541,ID43
QCY,SAVINGS,402080,ID44
APX,CURRENT,,ID45
MCY,CURRENT,387484,ID46
VPD,SAVINGS,18089,ID47
PHW,SAVINGS,3957999,ID48
IAV,SAVINGS,7615,ID49
TST,CURRENT,531023,ID50
MZO,CURRENT,7037595,ID51
JTA,,24911526,ID52
ZCD,SAVINGS,878723,ID53
TKB,SAVINGS,138808,
ZVR,SAVINGS,39635696,ID55
KAG,SAVINGS,1,ID56
HTR,,227132,ID57
GFE,SAVINGS,729,ID58
SIB,SAVINGS,,ID59
EUA,SAVINGS,,ID60
WNX,CURRENT,28,ID61
RQC,,,
LYN,SAVINGS,,ID63
YRS,SAVINGS,50704,ID64
WYW,SAVINGS,4,ID65
VBR,SAVINGS,6181,ID66
,,580836,ID67
,CURRENT,81,ID68
ZFK,SAVINGS,225,ID69
FXO,CURRENT,1474,ID70
PTY,CURRENT,562430,ID71
CUX,CURRENT,3012,ID72
,CURRENT,,ID73
OJV,CURRENT,9,ID74
ALZ,CURRENT,4193289,ID75
OYN,CURRENT,5899,ID76
VTY,SAVINGS,,ID77
ZYU,,29,ID78
NWU,CURRENT,309025,ID79
TGR,SAVINGS,,ID80
HQG,SAVINGS,2,ID81
WJB,CURRENT,5931,ID82
ZEB,CURRENT,10128400,ID83
,CURRENT,4657807,ID84
ECY,CURRENT,1691,ID85
CAX,SAVINGS,9762,ID86
,SAVINGS,35044559,ID87
,CURRENT,17068,ID88
TKT,SAVINGS,,ID89
DQX,SAVINGS,3968922,
